loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,4,Graduate,No,6500000,4260000,6,834,850000,19380000,24370000.0,9990000,Approved
2,2,Not Graduate,Yes,6630000,2410000,12,536,1000000,6800000,3070000.0,13070000,Rejected
3,4,Not Graduate,Yes,4380000,5860000,16,442,3370000,19260000,25000000.0,17430000,Rejected
4,5,Not Graduate,Yes,2310000,590000,18,415,4500000,15970000,8810000.0,12870000,Rejected
5,0,Graduate,Yes,7280000,6500000,16,532,15230000,16340000,6810000.0,18830000,Rejected
6,0,Graduate,No,4550000,940000,16,682,2240000,15860000,380000.0,3930000,Approved
7,1,Not Graduate,No,4600000,2670000,6,715,16290000,11430000,12350000.0,19090000,Rejected
8,0,Not Graduate,Yes,7480000,4640000,14,571,8310000,11240000,22820000.0,2680000,Approved
9,0,Not Graduate,Yes,5060000,4320000,6,635,4850000,7430000,15370000.0,18550000,Approved
10,5,Not Graduate,No,1840000,5150000,4,347,11560000,340000,16400000.0,16730000,Approved
11,1,Graduate,No,4600000,6640000,4,409,14820000,6270000,12010000.0,13630000,Rejected
12,3,Graduate,No,6090000,940000,2,413,6800000,720000,7850000.0,2910000,Rejected
13,2,Not Graduate,No,3420000,3690000,14,645,9340000,3760000,590000.0,4020000,Approved
14,4,Graduate,Yes,180000,4270000,6,674,11960000,13710000,15000000.0,6620000,Approved
15,1,Graduate,Yes,1340000,1680000,10,478,440000,14970000,14660000.0,8730000,Rejected
16,3,Not Graduate,Yes,5740000,3390000,12,834,12900000,13260000,1390000.0,14530000,Approved
17,1,Not Graduate,Yes,5820000,6560000,18,702,17840000,5580000,18600000.0,6700000,Approved
18,1,Graduate,No,6190000,3270000,16,717,17170000,4130000,12730000.0,16310000,Approved
19,5,Not Graduate,No,4800000,1890000,10,718,12260000,4910000,4520000.0,5970000,Approved
20,1,Not Graduate,Yes,3350000,4790000,6,540,1740000,9450000,21190000.0,17670000,Rejected
21,1,Graduate,Yes,170000,4570000,18,745,4060000,5650000,7200000.0,3350000,Approved
22,0,Graduate,No,5220000,790000,10,308,19820000,21280000,2510000.0,16230000,Rejected
23,1,Graduate,Yes,2030000,6570000,4,885,8050000,1350000,21010000.0,19570000,Approved
24,1,Not Graduate,No,8320000,6620000,18,451,10440000,23210000,4080000.0,14070000,Rejected
25,1,Not Graduate,Yes,2500000,2790000,8,801,16170000,1020000,29270000.0,250000,Rejected
26,5,Graduate,Yes,8910000,5190000,12,694,300000,9480000,21610000.0,11170000,Approved
27,1,Graduate,No,2740000,2640000,6,675,6660000,1890000,7400000.0,6010000,Approved
28,0,Graduate,No,5570000,5920000,20,756,6570000,2420000,8490000.0,15490000,Approved
29,5,Graduate,Yes,6720000,3950000,2,756,7750000,14540000,11210000.0,17090000,Approved
30,5,Not Graduate,Yes,3490000,1400000,6,712,15240000,5610000,3830000.0,10290000,Approved
31,5,Graduate,No,3460000,6290000,2,535,13480000,14960000,1810000.0,17180000,Approved
32,4,Graduate,Yes,3460000,3900000,16,879,2770000,10740000,22300000.0,5570000,Approved
33,5,Graduate,Yes,1540000,4180000,20,735,3020000,8180000,23870000.0,4200000,Approved
34,0,Graduate,No,170000,6090000,14,304,5010000,13140000,5180000.0,12790000,Rejected
35,5,Graduate,Yes,1900000,2520000,6,459,15050000,16030000,8550000.0,11880000,Rejected
36,3,Not Graduate,Yes,2820000,260000,2,403,11170000,13180000,8960000.0,250000,Rejected
37,2,Not Graduate,No,4130000,5250000,20,710,12210000,6090000,12220000.0,2340000,Approved
38,1,Not Graduate,No,2740000,270000,6,874,15190000,6790000,12540000.0,1290000,Approved
39,3,Not Graduate,Yes,5070000,660000,6,379,1120000,8950000,2970000.0,5420000,Rejected
40,4,Not Graduate,Yes,6470000,3170000,18,626,13340000,22340000,1340000.0,16810000,Approved
41,1,Graduate,Yes,1950000,3030000,10,861,18960000,18580000,20650000.0,9390000,Approved
42,1,Not Graduate,Yes,4230000,2500000,4,682,9970000,11850000,15210000.0,4200000,Approved
43,1,Not Graduate,No,6320000,6140000,12,781,11200000,6980000,16280000.0,9590000,Approved
44,0,Graduate,Yes,2380000,2870000,14,613,1940000,12010000,28200000.0,8970000,Approved
45,2,Graduate,Yes,3990000,6720000,6,513,1800000,14130000,28890000.0,3990000,Rejected
46,3,Graduate,Yes,5630000,430000,2,468,1780000,14320000,23470000.0,16370000,Approved
47,0,Not Graduate,No,5490000,4460000,14,647,1460000,1260000,17380000.0,17680000,Approved
48,3,Graduate,No,350000,260000,8,608,9080000,340000,15820000.0,11580000,Approved
49,0,Not Graduate,No,3660000,3760000,2,623,6440000,23310000,18030000.0,13180000,Approved
50,4,Not Graduate,No,7360000,6770000,18,354,5840000,6660000,2520000.0,12590000,Rejected
51,3,Graduate,No,2370000,1450000,10,476,9730000,15720000,15170000.0,510000,Rejected
52,2,Graduate,No,8660000,5260000,12,746,14050000,14540000,19280000.0,2180000,Approved
53,5,Not Graduate,No,2730000,4370000,4,521,7110000,19340000,11640000.0,5180000,Rejected
54,2,Not Graduate,Yes,1350000,6030000,6,364,790000,820000,26450000.0,890000,Rejected
55,1,Graduate,Yes,3840000,5350000,4,709,14130000,3490000,820000.0,3540000,Approved
56,0,Not Graduate,Yes,1120000,470000,12,504,16980000,23200000,2890000.0,13610000,Rejected
57,4,Not Graduate,No,3120000,3980000,2,475,3600000,23030000,12800000.0,12810000,Approved
58,2,Not Graduate,No,640000,2860000,12,659,12080000,5380000,4200000.0,19700000,Approved
59,4,Not Graduate,No,2950000,1090000,6,692,7420000,20480000,14810000.0,4050000,Approved
60,4,Not Graduate,No,5670000,3860000,20,548,15300000,11440000,2840000.0,350000,Rejected
61,4,Not Graduate,No,1080000,680000,4,705,17360000,23720000,8300000.0,10270000,Approved
62,1,Graduate,Yes,4850000,3570000,10,820,18470000,5550000,21930000.0,5480000,Approved
63,0,Graduate,Yes,3440000,5720000,16,329,4980000,11180000,19200000.0,4060000,Rejected
64,4,Not Graduate,Yes,8490000,5960000,10,870,17600000,12610000,8550000.0,13870000,Approved
65,3,Not Graduate,No,5340000,1560000,20,807,8030000,8620000,6380000.0,6080000,Approved
66,1,Graduate,Yes,7880000,650000,16,445,10220000,22610000,7180000.0,7230000,Rejected
67,4,Not Graduate,No,2780000,2390000,18,305,16210000,11210000,27100000.0,1260000,Rejected
68,4,Not Graduate,No,2710000,6760000,6,584,11300000,23230000,16010000.0,16300000,Approved
69,1,Not Graduate,No,3570000,1390000,16,600,5680000,7000000,7200000.0,3010000,Approved
70,0,Not Graduate,No,5590000,1460000,2,529,15900000,22770000,8660000.0,8250000,Approved
71,2,Graduate,Yes,1840000,2020000,8,895,16770000,22490000,28690000.0,12260000,Approved
72,0,Graduate,No,6800000,2250000,14,531,1970000,10810000,28230000.0,12970000,Rejected
73,1,Not Graduate,Yes,1360000,4120000,10,533,4670000,24360000,18040000.0,14700000,Rejected
74,4,Graduate,Yes,6160000,4310000,18,785,18920000,13860000,17500000.0,13090000,Approved
75,3,Not Graduate,Yes,5250000,5040000,20,552,1950000,24250000,13050000.0,6700000,Approved
76,4,Not Graduate,Yes,1500000,6920000,4,309,5290000,1740000,14210000.0,19790000,Rejected
77,5,Graduate,No,170000,850000,12,755,18180000,950000,22360000.0,7650000,Approved
78,5,Not Graduate,No,6630000,3500000,10,536,300000,3630000,9630000.0,16000000,Rejected
79,5,Graduate,Yes,1580000,5100000,18,876,4590000,24750000,20870000.0,11370000,Approved
80,4,Graduate,No,2310000,2310000,18,449,13450000,7500000,12590000.0,10190000,Rejected
81,3,Not Graduate,Yes,7020000,4500000,12,321,13580000,24750000,19290000.0,2660000,Rejected
82,2,Not Graduate,No,1810000,5440000,2,467,4880000,17010000,3990000.0,2480000,Rejected
83,4,Not Graduate,Yes,4860000,5830000,20,363,6380000,16860000,14110000.0,11530000,Rejected
84,2,Not Graduate,Yes,7540000,4590000,6,420,12200000,23070000,23620000.0,2580000,Rejected
85,4,Graduate,Yes,2180000,1160000,16,354,2920000,17450000,6750000.0,3640000,Rejected
86,2,Not Graduate,No,2310000,2300000,10,345,2030000,17820000,17260000.0,5930000,Rejected
87,2,Not Graduate,Yes,3930000,5120000,6,735,17060000,14350000,15120000.0,16250000,Approved
88,4,Not Graduate,Yes,1070000,430000,10,637,8820000,16890000,17830000.0,8310000,Approved
89,2,Graduate,Yes,7210000,2290000,14,554,15210000,8920000,18100000.0,12160000,Approved
90,3,Graduate,No,4620000,5000000,16,848,13570000,7720000,8310000.0,4710000,Approved
91,0,Not Graduate,Yes,3820000,5140000,18,432,2790000,8400000,4050000.0,16960000,Rejected
92,4,Not Graduate,Yes,4220000,2710000,20,321,19420000,23500000,9590000.0,18770000,Rejected
93,0,Graduate,No,8060000,6880000,6,418,14850000,15020000,15810000.0,6870000,Rejected
94,0,Graduate,Yes,6320000,5650000,14,603,11190000,15340000,20440000.0,1700000,Approved
95,1,Not Graduate,Yes,3680000,980000,2,357,1430000,18450000,380000.0,15350000,Approved
96,2,Graduate,No,5590000,6920000,12,772,2060000,22680000,14560000.0,10870000,Approved
97,0,Not Graduate,Yes,2200000,6740000,20,364,17140000,21690000,1520000.0,19030000,Rejected
98,5,Graduate,No,570000,5090000,12,858,2860000,1190000,3820000.0,11430000,Approved
99,0,Not Graduate,Yes,5480000,5950000,18,391,3590000,21860000,2200000.0,1790000,Rejected
100,1,Graduate,Yes,6990000,5550000,12,600,7660000,8220000,19250000.0,6800000,Approved
101,2,Graduate,Yes,6240000,4920000,8,386,9220000,2660000,20760000.0,9170000,Rejected
102,5,Not Graduate,No,6980000,6830000,12,609,16390000,22800000,24230000.0,13470000,Approved
103,1,Graduate,Yes,5960000,3800000,6,572,9830000,23830000,2620000.0,11130000,Approved
104,1,Graduate,No,7630000,6690000,12,379,17720000,12610000,12090000.0,10980000,Rejected
105,0,Graduate,No,6590000,6350000,18,470,810000,1850000,21420000.0,13610000,Rejected
106,2,Not Graduate,No,8590000,6390000,10,318,8150000,8450000,910000.0,6070000,Rejected
107,2,Graduate,No,7960000,4510000,18,331,13160000,7630000,7330000.0,15770000,Rejected
108,0,Not Graduate,Yes,840000,2770000,10,710,18640000,12660000,26810000.0,13390000,Approved
109,2,Graduate,No,5370000,1780000,4,408,3700000,8970000,960000.0,15100000,Rejected
110,4,Not Graduate,No,8050000,1290000,2,407,4390000,9070000,14540000.0,6810000,Rejected
111,2,Graduate,Yes,3410000,1320000,20,599,16970000,19160000,20720000.0,3940000,Approved
112,4,Not Graduate,No,3330000,5530000,2,838,5450000,11640000,5520000.0,14310000,Approved
113,3,Not Graduate,Yes,950000,6900000,18,372,6900000,11680000,26220000.0,11740000,Rejected
114,1,Graduate,Yes,5730000,3680000,14,557,4830000,12970000,24040000.0,13100000,Approved
115,1,Not Graduate,No,1050000,6140000,12,777,8890000,15030000,23570000.0,730000,Approved
116,4,Graduate,No,3420000,2690000,20,548,19150000,1700000,3560000.0,7870000,Rejected
117,1,Not Graduate,No,7140000,3610000,4,542,16490000,21180000,4080000.0,15110000,Approved
118,3,Graduate,Yes,6290000,3290000,2,430,12100000,10310000,16160000.0,5440000,Approved
119,0,Not Graduate,Yes,5270000,2390000,2,666,9820000,10450000,13510000.0,15030000,Approved
120,3,Graduate,Yes,3030000,6350000,14,603,3280000,14180000,28370000.0,10130000,Approved
121,5,Not Graduate,No,4650000,3580000,4,819,16230000,24280000,19840000.0,2460000,Approved
122,0,Graduate,Yes,6780000,5350000,6,700,10670000,16600000,2460000.0,7150000,Approved
123,0,Not Graduate,Yes,170000,2720000,4,835,15980000,2790000,29410000.0,6380000,Approved
124,4,Graduate,Yes,2610000,3570000,2,532,14920000,22360000,15620000.0,6910000,Approved
125,2,Graduate,No,180000,5630000,2,663,10190000,18270000,3250000.0,17310000,Approved
